0.9735	-9	17	274
0.9768	-8	7	277
0.9801	-19	-1	282
0.9834	-29	-2	275
0.9867	-17	-8	252
0.99	-15	-14	249
0.9933	-16	-8	254
0.9966	-11	0	252
0.9999	-3	7	259
1.0032	-7	10	276
1.0065	-13	17	288
1.0098	-9	8	277
1.0131	-8	3	285
1.0164	-21	-7	275
1.0197	-24	-7	265
1.023	-17	-2	236
1.0263	-15	-7	247
1.0296	-17	0	258
1.0329	-20	-16	261
1.0362	-13	-14	258
1.0395	-18	-10	256
1.0428	-10	0	247
1.0461	-6	1	260
1.0494	-8	6	280
1.0527	-20	13	278
1.056	-10	5	282
1.0593	-6	3	284
1.0626	-19	-4	285
1.0659	-23	0	262
1.0692	-17	-2	247
1.0725	-14	-10	247
1.0758	-16	-13	255
1.0791	-15	-4	254
1.0824	-8	3	257
1.0857	-13	8	286
1.089	-12	12	287
1.0923	-10	11	283
1.0956	-4	2	279
1.0989	-16	-6	279
1.1022	-24	0	264
1.1055	-18	-6	248
1.1088	-12	-14	248
1.1121	-17	-11	255
1.1154	-11	-4	257
1.1187	-4	1	256
1.122	-7	4	273
1.1253	-13	7	282
1.1286	-9	9	279
1.1319	-8	6	283
1.1352	-11	-5	285
1.1385	-25	-8	275
1.1418	-24	-2	251
1.1451	-15	-9	242
1.1484	-15	-11	248
1.1517	-14	-8	257
1.155	-10	2	258
1.1583	-12	5	262
1.1616	-9	3	278
1.1649	-16	9	295
1.1682	-13	14	279
1.1715	-5	2	280
1.1748	-19	-5	283
1.1781	-25	0	263
1.1814	-23	0	246
1.1847	-14	-13	251
1.188	-20	-14	253
1.1913	-14	-1	254
1.1946	-7	4	252
1.1979	-2	3	269
1.2012	-13	8	283
1.2045	-13	13	282
1.2078	-6	11	281
1.2111	-13	-4	286
1.2144	-23	-7	270
1.2177	-27	0	255
1.221	-13	-14	246
1.2243	-16	-14	253
1.2276	-20	-7	252
1.2309	-10	1	255
1.2342	-4	10	265
1.2375	-10	13	281
1.2408	-11	19	280
1.2441	-7	15	276
1.2474	-9	2	282
1.2507	-22	-5	279
1.254	-25	0	260
1.2573	-13	-11	244
1.2606	-12	-10	256
1.2639	-19	-3	253
1.2672	-10	6	260
1.2705	-2	6	260
1.2738	-9	15	281
1.2771	-8	13	279
1.2804	-4	4	280
1.2837	-13	0	288
1.287	-24	5	271
1.2903	-25	0	257
1.2936	-14	-2	243
1.2969	-18	-3	251
1.3002	-15	0	256
1.3035	-12	6	256
1.3068	-7	7	266
1.3101	-11	7	281
1.3134	-12	13	285
1.3167	-8	7	276
1.32	-11	1	275
1.3233	-21	-4	278
1.3266	-18	1	256
1.3299	-20	7	253
1.3332	-12	-3	244
1.3365	-17	-17	254
1.3398	-15	-2	256
1.3431	-8	0	252
1.3464	1	7	263
1.3497	-7	5	278
1.353	-12	20	279
1.3563	-7	15	271
1.3596	-9	2	286
1.3629	-25	0	282
1.3662	-23	-3	253
1.3695	-13	-12	243
1.3728	-17	-10	251
1.3761	-13	-9	255
1.3794	-12	2	254
1.3827	-2	8	256
1.386	-5	9	279
1.3893	-15	18	282
1.3926	-9	12	277
1.3959	-10	2	287
1.3992	-22	-9	282
1.4025	-22	-2	256
1.4058	-14	-13	243
1.4091	-12	-15	250
1.4124	-17	-11	255
1.4157	-14	1	256
1.419	-4	7	256
1.4223	-11	15	284
1.4256	-18	15	285
1.4289	-6	4	275
1.4322	-8	1	283
1.4355	-18	-2	249
1.4388	-13	-12	252
1.4421	-16	-11	258
1.4454	-18	-1	259
1.4487	-4	8	258
1.452	-3	5	268
1.4553	-14	12	285
1.4586	-11	14	281
1.4619	-1	5	282
1.4652	-16	-3	281
1.4685	-28	-3	270
1.4718	-17	-3	245
1.4751	-12	-14	251
1.4784	-13	-16	255
1.4817	-12	-1	252
1.485	-3	3	258
1.4883	-11	6	276
1.4916	-16	12	284
1.4949	-3	8	278
1.4982	-6	2	285
1.5015	-19	0	282
1.5048	-26	-1	263
